"geboorte_land_code_her","geboorte_land_her"
"7058","Nederlands Nieuw-Guinea"
"7059","Tanganyika"
"7060","Palestina"
"7062","Brits West-Indie"
"7063","Portugees-Afrika"
"7064","Letland"
"7065","Estland"
"7066","Litouwen"
"7067","Brits-Afrika"
"7068","Belgisch-Congo"
"7070","Brits-Indie"
"7071","Noord-Rhodesie"
"7072","Zuid-Rhodesie"
"7073","Saarland"
"7074","Frans Indochina"
"7075","Brits West-Borneo"
"7076","Goudkust"
"7077","Ras al-Khaimah"
"7079","Frans-Congo"
"7080","Siam"
"7082","Brits Oost-Afrika"
"7083","Brits Noord-Borneo"
"7084","Bangladesh"
"7085","Duitse Democratische Republiek"
"7087","Madeira-eilanden"
"7088","Amerikaanse Maagdeneilanden"
"7089","Australische Salomonseilanden"
"7091","Spaanse Sahara"
"7092","Caymaneilanden"
"7093","Caicoseilanden"
"7094","Turkseilanden"
"7095","Brits Antarctisch Territorium"
"7096","Brits Indische Oceaanterritorium"
"7097","Cookeilanden"
"7098","Tokelau"
"7099","Nieuw-Caledonie"
"8000","Hawaii-eilanden"
"8001","Guam"
"8002","Amerikaans-Samoa"
"8003","Midway"
"8004","Riukiu-eilanden"
"8005","Wake"
"8006","Pacific-eilanden"
"8008","Grenada"
"8009","Marianen"
"8010","Cabinda"
"8011","Canton en Enderbury"
"8012","Christmaseiland"
"8013","Cocoseilanden"
"8014","Faeroer"
"8015","Montserrat"
"8016","Norfolk"
"8017","Belize"
"8018","Tasmanie"
"8019","Turks- en Caicoseilanden"
"8020","Puerto Rico"
"8021","Papoea-Nieuw-Guinea"
"8022","Salomonseilanden"
"8023","Benin"
"8024","Vietnam"
"8025","Kaapverdie"
"8026","Seychellen"
"8027","Kiribati"
"8028","Tuvalu"
"8029","Saint Lucia"
"8030","Dominica"
"8031","Zimbabwe"
"8032","Dubai"
"8033","Nieuwe Hebriden"
"8034","Kanaaleilanden"
"8035","Man"
"8036","Anguilla"
"8037","Saint Kitts en Nevis"
"8038","Antigua"
"8039","Saint Vincent"
"8040","Gilberteilanden"
"8041","Panamakanaalzone"
"8042","Saint Kitts en Nevis en Anguilla"
"8043","Belau"
"8044","Palau"
"8045","Antigua en Barbuda"
"9000","Newfoundland"
"9001","Nyasaland"
"9003","Eritrea"
"9005","Ifni"
"9006","Brits-Kameroen"
"9007","Keizer Wilhelmsland"
"9008","Congo"
"9009","Congo-Kinshasa"
"9010","Madagaskar"
"9013","Congo-Brazzaville"
"9014","Leewardeilanden"
"9015","Windwardeilanden"
"9016","Frans Territorium voor Afars en Issa s"
"9017","Phoenixeilanden"
"9020","Portugees-Guinee"
"9022","Duits Zuidwest-Afrika"
"9023","Namibie"
"9027","Brits-Somaliland"
"9028","Italiaans-Somaliland"
"9030","Nederlands-Indie"
"9031","Brits-Guyana"
"9036","Swaziland"
"9037","Qatar"
"9041","Aden"
"9042","Zuid-Arabische Federatie"
"9043","Equatoriaal-Guinea"
"9044","Spaans-Guinee"
"9047","Verenigde Arabische Republiek"
"9048","Bermuda"
"9049","Sovjet-Unie"
"9050","Duits Oost-Afrika"
"9051","Zanzibar"
"9052","Ceylon"
"9053","Muscat en Oman"
"9054","Trucial Oman"
"9055","Indochina"
"9056","Marshalleilanden"
"9057","Sarawak"
"9058","Brits-Borneo"
"9060","Sabah"
"9061","Abu Dhabi"
"9062","Ajman"
"9063","Basutoland"
"9064","Bechuanaland"
"9065","Fujairah"
"9066","Frans-Kameroen"
"9067","Johore"
"9068","Korea"
"9069","Labuan"
"9070","Umm Al-Qaiwain"
"9071","Oostenrijk-Hongarije"
"9072","Portugees Oost-Afrika"
"9073","Portugees West-Afrika"
"9074","Sharjah"
"9075","Straits Settlements"
"9076","Abessinie"
"9077","Frans West-Afrika"
"9078","Frans Equatoriaal-Afrika"
"9081","Urundi"
"9082","Ruanda-Urundi"
"9084","Goa"
"9085","Dantzig"
"9086","Centraal-Afrikaanse Republiek"
"9087","Djibouti"
"9088","Transjordanie"
"9089","Bondsrepubliek Duitsland"
"9090","Vanuatu"
"9091","Niue"
"9092","Spaans Noord-Afrika"
"9093","Westelijke Sahara"
"9094","Micronesia"
"9095","Svalbardeilanden"
"9999","Internationaal gebied"
